+-----+-----------------------+-----------+----------------------------+-----+
| d   | G                     | ell       | field                      | ind |
| 31  | {\rm PSL}_{3}(5)      | ! 2,5     |                            | 1   |
| 31  | {\rm PSL}_{3}(5)      | ! 2,5     | i1                         | -1  |
| 31  | {\rm J}_1             | 7         | c19                        | 1   |
| 32  | 2.A_{8}               | 5         | z3, b7                     | 0   |
| 32  | 2.A_{12}              | ! 2,3     |                            | -1  |
| 32  | A_{13}                | 2         | b13                        | 1   |
| 32  | 2.A_{13}              | 13        |                            | -1  |
| 32  | 2.A_{13}              | ! 2,13    | b13                        | -1  |
| 32  | 2.A_{14}              | 7         | r3, r6, r10, b5, b13, b33  | -1  |
| 32  | {\rm PSU}_{3}(3)      | 0,2       | b7                         | 0   |
| 32  | 2.{\rm PSU}_{4}(2)    | 5         | z3                         | 0   |
| 32  | 2.{\rm M}_{12}        | ! 2,3     |                            | -1  |
| 33  | {\rm PSp}_{4}(4)      | 5         |                            | 1   |
| 33  | {\rm O}_{8}^-(2)      | 7         |                            | 1   |
| 34  | A_{9}                 | 5         |                            | 1   |
| 34  | A_{10}                | 3,5       |                            | 1   |
| 34  | A_{11}                | 3         |                            | 1   |
| 34  | {\rm PSU}_{4}(3)      | 2         |                            | -1  |
| 34  | {\rm PSp}_{4}(4)      | ! 2,5     |                            | 1   |
| 34  | {\rm PSp}_{6}(2)      | 3         |                            | 1   |
| 34  | {\rm O}_{8}^-(2)      | ! 2,7     |                            | 1   |
| 34  | {\rm M}_{12}          | 3         |                            | 1   |
| 34  | {\rm M}_{22}          | 2         |                            | -1  |
| 34  | {\rm J}_1             | 19        | b5                         | 1   |
| 35  | A_{7}                 | ! 2,3     |                            | 1   |
| 35  | A_{8}                 | ! 2       |                            | 1   |
| 35  | A_{9}                 | ! 2       |                            | 1   |
| 35  | A_{10}                | ! 2,3     |                            | 1   |
| 35  | A_{10}                | 5         | r21                        | 1   |
| 35  | {\rm PSL}_{3}(4)      | ! 2,3     |                            | 1   |
| 35  | {\rm PSU}_{4}(3)      | ! 2,3     |                            | 1   |
| 35  | {\rm PSp}_{6}(2)      | ! 2       |                            | 1   |
| 35  | {\rm PSp}_{8}(2)      | ! 2       |                            | 1   |
| 35  | {\rm O}_{8}^+(2)      | ! 2       |                            | 1   |
| 35  | Sz(8)                 | 13        |                            | 1   |
| 35  | Sz(8)                 | ! 2,13    | c13                        | 1   |
| 36  | 2.A_{7}               | 0,3       |                            | -1  |
| 36  | 6.A_{7}               | 0         | z3                         | 0   |
| 36  | A_{10}                | ! 2,5     |                            | 1   |
| 36  | A_{11}                | 11        |                            | 1   |
| 36  | 2.{\rm PSL}_{3}(4)    | ! 2,7     |                            | 1   |
| 36  | 4_2.{\rm PSL}_{3}(4)  | ! 2       | i1                         | 0   |
| 36  | 6.{\rm PSL}_{3}(4)    | ! 2,3     | z3                         | 0   |
| 36  | 12_2.{\rm PSL}_{3}(4) | ! 2,3     | z12                        | 0   |
| 36  | 2.{\rm PSU}_{4}(2)    | 0         | z3                         | 0   |
| 36  | 3_2.{\rm PSU}_{4}(3)  | ! 3       | z3                         | 0   |
| 36  | 12_2.{\rm PSU}_{4}(3) | ! 2,3     | z12                        | 0   |
| 36  | 6.{\rm M}_{22}        | 11        | z12                        | 0   |
| 36  | {\rm J}_2             | ! 5       |                            | 1   |
| 36  | 2.{\rm J}_2           | 3         | i1                         | 0   |
| 38  | {\rm PSL}_{4}(3)      | 2,5       |                            | 1   |
| 39  | {\rm PSL}_{3}(3)      | 0,13      |                            | 1   |
| 39  | {\rm PSL}_{4}(3)      | 0,13      |                            | 1   |
| 39  | {\rm PSU}_{3}(4)      | 5         |                            | 1   |
| 39  | {\rm PSU}_{3}(4)      | ! 2,5     | b5                         | 1   |
| 40  | 2.{\rm PSL}_{4}(3)    | ! 2,3     |                            | 1   |
| 40  | 4_1.{\rm PSL}_{3}(4)  | 3         | i1                         | 0   |
| 40  | {\rm PSU}_{4}(2)      | 0,5       | z3                         | 0   |
| 40  | {\rm PSp}_{4}(5)      | ! 5       |                            | 1   |
| 40  | {\rm PSp}_{4}(9)      | 2         |                            | -1  |
| 40  | 2.{\rm PSp}_{4}(9)    | ! 2,3     |                            | -1  |
| 40  | 2.{\rm PSp}_{6}(2)    | 7         |                            | 1   |
| 40  | {\rm PSp}_{8}(3)      | 2         | z3                         | 0   |
| 40  | 2.{\rm PSp}_{8}(3)    | ! 2,3     | z3                         | 0   |
| 40  | 2.Sz(8)               | 7         |                            | 1   |
| 40  | 2.Sz(8)               | ! 2,7     | y7                         | 1   |
| 41  | A_{9}                 | 3         |                            | 1   |
| 41  | A_{10}                | 3         |                            | 1   |
| 41  | {\rm PSp}_{4}(9)      | ! 2,3     |                            | 1   |
| 41  | {\rm PSp}_{8}(3)      | ! 2,3     | z3                         | 0   |
| 41  | {\rm J}_2             | 5         |                            | 1   |
| 42  | A_{9}                 | 0,7       |                            | 1   |
| 42  | A_{10}                | 0,7       |                            | 1   |
| 42  | 6.{\rm PSL}_{3}(4)    | 0,7       | z3, b5                     | 0   |
| 42  | {\rm PSU}_{3}(7)      | ! 7       |                            | -1  |
| 42  | {\rm PSU}_{7}(2)      | ! 2       |                            | -1  |
| 43  | A_{8}                 | 5         |                            | 1   |
| 43  | A_{11}                | 5         |                            | 1   |
| 43  | A_{12}                | 5         |                            | 1   |
| 43  | {\rm PSU}_{3}(7)      | ! 2,7     |                            | 1   |
| 43  | {\rm PSU}_{3}(7)      | ! 2,7     | i1                         | 0   |
| 43  | {\rm PSU}_{3}(7)      | ! 2,7     | z8                         | 0   |
| 43  | {\rm PSU}_{5}(2)      | 5         |                            | 1   |
| 43  | {\rm PSU}_{7}(2)      | ! 2,3     | z3                         | 0   |
| 43  | {\rm J}_1             | 19        | b5                         | 1   |
| 44  | A_{11}                | ! 3,5     |                            | 1   |
| 44  | A_{12}                | 2         |                            | 1   |
| 44  | 4_2.{\rm PSL}_{3}(4)  | 7         | i1                         | 0   |
| 44  | {\rm PSU}_{5}(2)      | ! 2,5     |                            | 1   |
| 44  | {\rm M}_{11}          | ! 3,5     |                            | 1   |
| 44  | {\rm M}_{12}          | 2         |                            | 1   |
| 44  | 2.{\rm M}_{12}        | ! 2,5     | i5                         | 0   |
